InterestShortUK	InterestLongUK
5.0314	4.8683
5.0326	5.2103
5.0099	5.0494
4.997	4.7267
4.8925	4.5701
4.4115	4.5789
2.7846	4.2571
1.6525	3.6238
1.326	3.6699
0.8973	3.6899
0.5224	3.2497
0.4099	3.4072
0.4133	3.6206
0.4158	3.7221
0.4173	3.8238
0.422	3.7142
0.4302	3.6566
0.4472	3.5699
0.4509	3.7592
0.4492	3.8871
0.4545	4.0025
0.4672	4.0624
0.4713	4.0915
0.4726	4.1007
0.4842	3.7772
0.487	3.6007
0.49	3.5087
0.491	3.233
0.501	3.1271
0.5083	3.0685
0.5086	3.311
0.5173	3.6098
0.5059	3.7273
0.5084	3.8799
0.5154	3.7386
0.524	3.7619
0.5217	3.5053
0.5311	3.4144
0.5228	3.3137
0.538	2.7833
0.5486	2.504
0.5358	2.529
0.5347	2.2917
0.5201	2.1828
0.5157	2.1104
0.4993	2.2191
0.49	2.323
0.4861	2.2117
0.4848	1.9416
0.4859	1.7698
0.4646	1.6523
0.45	1.6735
0.4271	1.7222
0.4334	1.7721
0.4256	1.7741
0.4309	1.8467
0.4097	2.0795
0.4261	2.1781
0.4353	1.9768
0.4396	1.7824
0.4336	1.9462
0.4252	2.3063
0.4301	2.471
0.427	2.7088
0.4299	2.8443
0.4313	2.6784
0.43	2.7598
0.4215	2.9458
0.4287	2.91
0.4197	2.8147
0.4159	2.7837
0.422	2.7417
0.4233	2.6989
0.4251	2.7842
0.4283	2.7343
0.4228	2.5347
0.4319	2.4919
0.4308	2.2469
0.4325	2.1593
0.428	1.9287
0.4355	1.589
0.4511	1.7365
0.4568	1.7941
0.4574	1.755
0.462	2.0243
0.4566	2.1696
0.4549	2.1353
0.459	1.9799
0.4544	1.8814
0.4622	1.846
0.4636	1.9779
0.4575	1.9234
0.4659	1.7833
0.4657	1.5032
0.4646	1.5434
0.4663	1.5688
0.4633	1.5366
0.4598	1.3105
0.4577	0.9569
0.2478	0.7421
0.213	0.8243
0.212	1.078
0.2108	1.3818
0.2125	1.4336
0.2135	1.4203
0.2106	1.3058
0.2095	1.194
0.2114	1.0789
0.2126	1.1175
0.2121	1.0846
0.2124	1.2713
0.2132	1.1241
0.2123	1.2436
0.211	1.3816
0.4493	1.3299
0.4619	1.2781
0.4631	1.3931
0.4634	1.6034
0.4637	1.508
0.4617	1.5108
0.4529	1.5016
0.4507	1.4229
0.4545	1.3739
0.6911	1.3991
0.7012	1.5023
0.7011	1.5462
0.7017	1.4541
0.7026	1.3125
